title,author,publisher,publication_date,discount,price,url
脆弱卻驚人的內在力量：IFS創始人用三個練習，帶你化解過去的傷與現在的苦,里查．史華茲,究竟,2024-02-01,79,252,https://www.books.com.tw/products/0010980282?loc=P_0005_021
脆弱卻驚人的內在力量：IFS創始人用三個練習，帶你化解過去的傷與現在的苦 (電子書),里查．史華茲,究竟,2024-02-01,88,197,https://www.books.com.tw/products/E050200382?loc=P_0005_022
我的日本爸爸,吳小帽,究竟,2024-01-01,79,292,https://www.books.com.tw/products/0010976755?loc=P_0005_023
我的日本爸爸 (電子書),吳小帽,究竟,2024-01-01,88,227,https://www.books.com.tw/products/E050194713?loc=P_0005_024
Good Inside教養逆思維：看見孩子脫序行為中的內在需求,貝琪・甘迺迪,究竟,2024-01-01,79,292,https://www.books.com.tw/products/0010976747?loc=P_0005_025
我這樣找到人生的答案：「駱駝-獅子-小孩」三階段讀得不一樣人生,高明煥,究竟,2024-01-01,79,276,https://www.books.com.tw/products/0010976757?loc=P_0005_026
Good Inside教養逆思維：看見孩子脫序行為中的內在需求 (電子書),貝琪・甘迺迪,究竟,2024-01-01,88,227,https://www.books.com.tw/products/E050194712?loc=P_0005_027
我這樣找到人生的答案：「駱駝-獅子-小孩」三階段讀得不一樣人生 (電子書),高明煥,究竟,2024-01-01,88,215,https://www.books.com.tw/products/E050194714?loc=P_0005_028
半小時漫畫中國史4：一到宋元，梗就撲面而來!,陳磊（二混子）,究竟,2023-12-01,9,324,https://www.books.com.tw/products/0010973872?loc=P_0005_029
半小時漫畫中國史5：明清大亂鬥，笑著笑著就亡了,陳磊（二混子）,究竟,2023-12-01,9,324,https://www.books.com.tw/products/0010973873?loc=P_0005_030
如果春秋戰國是個班級：半小時漫畫中國史 (電子書),二混子,究竟,2023-12-01,88,178,https://www.books.com.tw/products/E050190614?loc=P_0005_031
半小時漫畫中國史2：兩漢魏晉很有事 (電子書),陳磊（二混子）,究竟,2023-12-01,88,197,https://www.books.com.tw/products/E050190615?loc=P_0005_032
半小時漫畫中國史3：隋唐盛世多風雲 (電子書),陳磊（二混子）,究竟,2023-12-01,88,197,https://www.books.com.tw/products/E050190616?loc=P_0005_033
半小時漫畫中國史4：一到宋元，梗就撲面而來! (電子書),陳磊（二混子）,究竟,2023-12-01,88,220,https://www.books.com.tw/products/E050190617?loc=P_0005_034
半小時漫畫中國史5：明清大亂鬥，笑着笑着就亡了 (電子書),陳磊（二混子）,究竟,2023-12-01,88,220,https://www.books.com.tw/products/E050190618?loc=P_0005_035
不當世界的局外人：當世界充滿變數，你需要不被帶風向的國際識讀力,敏迪,究竟,2023-12-01,79,276,https://www.books.com.tw/products/0010973847?loc=P_0005_036
不當世界的局外人：當世界充滿變數，你需要不被帶風向的國際識讀力 (電子書),敏迪,究竟,2023-12-01,88,215,https://www.books.com.tw/products/E050190613?loc=P_0005_037
重啟人生的17個練習【薩提爾推手李崇建力薦】,羅志仲,究竟,2023-11-01,79,284,https://www.books.com.tw/products/0010971333?loc=P_0005_038
佛洛伊德的椅子：化解內在衝突，隨身必備的情緒調節書,鄭道彥,究竟,2023-11-01,79,300,https://www.books.com.tw/products/0010971351?loc=P_0005_039
重啟人生的17個練習【薩提爾推手李崇建力薦】 (電子書),羅志仲,究竟,2023-11-01,88,220,https://www.books.com.tw/products/E050184782?loc=P_0005_040
佛洛伊德的椅子：化解內在衝突，隨身必備的情緒調節書 (電子書),鄭道彥,究竟,2023-11-01,88,234,https://www.books.com.tw/products/E050184783?loc=P_0005_041
可讀、可想、可互動的歷史啓蒙書,伊恩．道森,究竟,2023-09-01,9,306,https://www.books.com.tw/products/0010965786?loc=P_0005_042
可讀、可想、可互動的歷史啓蒙書 (電子書),伊恩．道森,究竟,2023-09-01,88,209,https://www.books.com.tw/products/E050175767?loc=P_0005_043
火箭老媽，烏龜老爸：我家，或許也是你家的故事,街頭故事 李白,究竟,2023-09-01,79,323,https://www.books.com.tw/products/0010965785?loc=P_0005_044
火箭老媽，烏龜老爸：我家，或許也是你家的故事 (電子書),街頭故事 李白,究竟,2023-09-01,88,252,https://www.books.com.tw/products/E050175768?loc=P_0005_045
Me Time：兼顧工作和生活的時間管理術,池田千恵,究竟,2023-08-01,9,288,https://www.books.com.tw/products/0010962889?loc=P_0005_046
秒懂過動與自閉的內心世界,岩瀨利郎,究竟,2023-08-01,79,252,https://www.books.com.tw/products/0010962973?loc=P_0005_047
秒懂過動與自閉的內心世界 (電子書),岩瀨利郎,究竟,2023-08-01,88,197,https://www.books.com.tw/products/E050171794?loc=P_0005_048
Me Time：兼顧工作和生活的時間管理術 (電子書),池田千恵,究竟,2023-08-01,88,197,https://www.books.com.tw/products/E050171795?loc=P_0005_049
此人進廠維修中!：為心靈放個小假，安頓複雜的情緒 (電子書),陳志恆,究竟,2023-07-01,,175,https://www.books.com.tw/products/E050167050?loc=P_0005_050
箱庭世界史：俯瞰107個重大歷史事件，快速建立國際觀,田中正人,究竟,2023-07-01,9,378,https://www.books.com.tw/products/0010960212?loc=P_0005_051
箱庭世界史：俯瞰107個重大歷史事件，快速建立國際觀 (電子書),田中正人,究竟,2023-07-01,,294,https://www.books.com.tw/products/E050167049?loc=P_0005_052
【全球暢銷360萬本慶功版】不生病的生活：新谷飲食法，全美首席胃腸科醫師的健康秘訣 (電子書),新谷弘實,究竟,2023-06-01,,161,https://www.books.com.tw/products/E050161918?loc=P_0005_053
理性生活【暢銷60年!理情行為療法經典】：教你打破慣性，改寫自己的人生故事,"亞伯．艾里斯,羅伯特．哈珀",究竟,2023-06-01,79,395,https://www.books.com.tw/products/0010957474?loc=P_0005_054
理性生活【暢銷60年!理情行為療法經典】：教你打破慣性，改寫自己的人生故事 (電子書),"亞伯．艾里斯,羅伯特．哈珀",究竟,2023-06-01,88,308,https://www.books.com.tw/products/E050161920?loc=P_0005_055
女醫師教你真正愉悅的性愛【暢銷珍藏版】(附成人漫畫家春輝的精美插畫書衣海報),宋美玄,究竟,2023-05-01,9,306,https://www.books.com.tw/products/0010954880?loc=P_0005_056
女醫師教你真正愉悅的性愛【暢銷珍藏版】(電子書收錄成人漫畫家春輝的精美插畫) (電子書),宋美玄,究竟,2023-05-01,88,209,https://www.books.com.tw/products/E050158867?loc=P_0005_057
和古代學霸擊個掌：大叔可以成偶像，小混混可以成良將，學習就是最好的翻身術,急腳大師,究竟,2023-04-01,9,306,https://www.books.com.tw/products/0010952690?loc=P_0005_058
和古代學霸擊個掌：大叔可以成偶像，小混混可以成良將，學習就是最好的翻身術 (電子書),急腳大師,究竟,2023-03-30,,238,https://www.books.com.tw/products/E050156310?loc=P_0005_059
一日看盡長安花：大唐沉浸式生活體驗,覃宜明,究竟,2023-03-01,7,252,https://www.books.com.tw/products/0010950219?loc=P_0005_060
一日看盡長安花：大唐沉浸式生活體驗 (電子書),覃宜明,究竟,2023-02-23,,250,https://www.books.com.tw/products/E050154154?loc=P_0005_061
莫莉的心靈探索之旅：看見自己內在的寶藏，世界就此改變了!,安娜．卡蜜拉．庫普卡,究竟,2023-02-01,9,270,https://www.books.com.tw/products/0010947079?loc=P_0005_062
莫莉的心靈探索之旅：看見自己內在的寶藏，世界就此改變了! (電子書),安娜．卡蜜拉．庫普卡,究竟,2023-01-18,,210,https://www.books.com.tw/products/E050151845?loc=P_0005_063
人善被犬欺：如何得到尊重、畫下界線，贏得你應有的成功(附「人太好」檢測),馬丁．維爾勒,究竟,2023-01-01,66,297,https://www.books.com.tw/products/0010945065?loc=P_0005_064
人善被犬欺：如何得到尊重、畫下界線，贏得你應有的成功(附「人太好」檢測) (電子書),馬丁．維爾勒,究竟,2023-01-01,88,277,https://www.books.com.tw/products/E050150323?loc=P_0005_065
陪伴心理學,黃士鈞（哈克）,究竟,2022-12-01,79,284,https://www.books.com.tw/products/0010941911?loc=P_0005_066
陪伴心理學 (電子書),黃士鈞（哈克）,究竟,2022-12-01,,250,https://www.books.com.tw/products/E050147904?loc=P_0005_067
厭世讀論語：千年名師神回覆，開解你的人生疑難,厭世國文老師,究竟,2022-11-01,79,268,https://www.books.com.tw/products/0010939344?loc=P_0005_068
厭世讀論語：千年名師神回覆，開解你的人生疑難 (電子書),厭世國文老師,究竟,2022-11-01,,238,https://www.books.com.tw/products/E050144930?loc=P_0005_069
守密：祕密心理學的第一本書!那些藏著不說的，如何影響你的健康與未來,麥可．史萊平恩,究竟,2022-10-01,66,244,https://www.books.com.tw/products/0010936379?loc=P_0005_070
守密：祕密心理學的第一本書!那些藏著不說的，如何影響你的健康與未來 (電子書),麥可．史萊平恩,究竟,2022-10-01,,259,https://www.books.com.tw/products/E050142416?loc=P_0005_071
獨立鍛造：一生受益的自我心理學，重新領悟生命八大任務，邁向圓滿,蘇絢慧,究竟,2022-10-01,79,292,https://www.books.com.tw/products/0010936407?loc=P_0005_072
獨立鍛造：一生受益的自我心理學，重新領悟生命八大任務，邁向圓滿 (電子書),蘇絢慧,究竟,2022-10-01,,259,https://www.books.com.tw/products/E050142415?loc=P_0005_073
社群故事圈粉術：將流量變現，讓興趣為你工作,街頭故事 李白,究竟,2022-09-01,79,339,https://www.books.com.tw/products/0010933546?loc=P_0005_074
社群故事圈粉術：將流量變現，讓興趣為你工作【獨家收錄全新專文】 (電子書),街頭故事 李白,究竟,2022-09-01,,301,https://www.books.com.tw/products/E050140533?loc=P_0005_075
你的大腦有點Blue：史上最舒適年代，為什麼還是焦慮不安?,安德斯・韓森,究竟,2022-09-01,9,288,https://www.books.com.tw/products/0010933561?loc=P_0005_076
你的大腦有點Blue：史上最舒適年代，為什麼還是焦慮不安? (電子書),安德斯・韓森,究竟,2022-09-01,,224,https://www.books.com.tw/products/E050140534?loc=P_0005_077
先別急著挑戰人性：20個經典心理實驗，帶你認識自己，人生不踩雷,潘楷文,究竟,2022-08-01,9,342,https://www.books.com.tw/products/0010930769?loc=P_0005_078
先別急著挑戰人性：20個經典心理實驗，帶你認識自己，人生不踩雷 (電子書),潘楷文,究竟,2022-08-01,,266,https://www.books.com.tw/products/E050138260?loc=P_0005_079
量子思考：跳脫常識，在沒有答案的世界裡找到自己的路,村上憲郎,究竟,2022-07-01,9,315,https://www.books.com.tw/products/0010927881?loc=P_0005_080
當牧師精神崩潰了：心理受創時，這樣找到救贖之道,沼田和也,究竟,2022-07-01,9,279,https://www.books.com.tw/products/0010927888?loc=P_0005_081
量子思考：跳脫常識，在沒有答案的世界裡找到自己的路 (電子書),村上憲郎,究竟,2022-07-01,,245,https://www.books.com.tw/products/E050135293?loc=P_0005_082
當牧師精神崩潰了：心理受創時，這樣找到救贖之道 (電子書),沼田和也,究竟,2022-07-01,,217,https://www.books.com.tw/products/E050135294?loc=P_0005_083
世界已經回不去了，學會放棄才有轉機,澤圓,究竟,2022-06-01,9,297,https://www.books.com.tw/products/0010924906?loc=P_0005_084
世界已經回不去了，學會放棄才有轉機 (電子書),澤圓,究竟,2022-06-01,,231,https://www.books.com.tw/products/E050132499?loc=P_0005_085
海獅說歐洲王室羅曼死,神奇海獅,究竟,2022-06-01,9,306,https://www.books.com.tw/products/0010924913?loc=P_0005_086
海獅說歐洲王室羅曼死 (電子書),神奇海獅,究竟,2022-06-01,,238,https://www.books.com.tw/products/E050132498?loc=P_0005_087
灰日記：生命縱有摺痕，也要活出你的高級灰,歐北,究竟,2022-05-01,9,306,https://www.books.com.tw/products/0010922460?loc=P_0005_088
灰日記：生命縱有摺痕，也要活出你的高級灰 (電子書),歐北,究竟,2022-05-01,,238,https://www.books.com.tw/products/E050129996?loc=P_0005_089
取材.執筆.推敲：《被討厭的勇氣》作者直授，最全面的寫作指南,古賀史健,究竟,2022-05-01,79,402,https://www.books.com.tw/products/0010922475?loc=P_0005_090
取材.執筆.推敲：《被討厭的勇氣》作者直授，最全面的寫作指南 (電子書),古賀史健,究竟,2022-05-01,,357,https://www.books.com.tw/products/E050129995?loc=P_0005_091
天堂的證明：一位哈佛神經外科權威醫生的瀕死體驗,伊本．亞歷山大,究竟,2022-04-01,79,252,https://www.books.com.tw/products/0010920064?loc=P_0005_092
全球人才搶著學!密涅瓦的思考習慣訓練,"劉劭穎,李佳達,黃禮宏",究竟,2022-04-01,79,276,https://www.books.com.tw/products/0010920072?loc=P_0005_093
全球人才搶著學!密涅瓦的思考習慣訓練 (電子書),"劉劭穎,李佳達,黃禮宏",究竟,2022-04-01,,245,https://www.books.com.tw/products/E050127064?loc=P_0005_094
承認內在脆弱，使你溫柔又強大,片田智也,究竟,2022-03-01,9,261,https://www.books.com.tw/products/0010917139?loc=P_0005_095
承認內在脆弱，使你溫柔又強大 (電子書),片田智也,究竟,2022-03-01,,203,https://www.books.com.tw/products/E050122713?loc=P_0005_096
沒有不好的你：風行全球的內在家庭系統IFS，徹底翻轉你我的生命,里查．史華茲,究竟,2022-03-01,79,276,https://www.books.com.tw/products/0010917134?loc=P_0005_097
沒有不好的你：風行全球的內在家庭系統IFS，徹底翻轉你我的生命 (電子書),里查．史華茲,究竟,2022-03-01,88,215,https://www.books.com.tw/products/E050122714?loc=P_0005_098
世界史是化學寫成的：從玻璃到手機，從肥料到炸藥，保證有趣的化學入門,左卷健男,究竟,2022-02-01,79,308,https://www.books.com.tw/products/0010914238?loc=P_0005_099
世界史是化學寫成的：從玻璃到手機，從肥料到炸藥，保證有趣的化學入門 (電子書),左卷健男,究竟,2022-02-01,88,240,https://www.books.com.tw/products/E050120876?loc=P_0005_100
創傷療癒手冊：不被往事定義，走出複雜性創傷後壓力症候群C-PTSD,艾瑞爾．許瓦茲,究竟,2022-01-01,9,342,https://www.books.com.tw/products/0010911541?loc=P_0005_001
創傷療癒手冊：不被往事定義，走出複雜性創傷後壓力症候群C-PTSD (電子書),艾瑞爾．許瓦茲,究竟,2022-01-01,,266,https://www.books.com.tw/products/E050117895?loc=P_0005_002
拯救手機腦：每天5分鐘，終結數位焦慮，找回快樂與專注力,安德斯・韓森,究竟,2022-01-01,79,244,https://www.books.com.tw/products/0010911511?loc=P_0005_003
拯救手機腦：每天5分鐘，終結數位焦慮，找回快樂與專注力 (電子書),安德斯・韓森,究竟,2022-01-01,,217,https://www.books.com.tw/products/E050117894?loc=P_0005_004
生命勝任力：東方心教練向內修練、向外實現10大基本功,阮橞習Eva,究竟,2021-12-01,9,261,https://www.books.com.tw/products/0010909055?loc=P_0005_005
每個器官都在訴說愛：最撩心的解剖學,手拉心 Solaxin,究竟,2021-12-01,9,261,https://www.books.com.tw/products/0010909061?loc=P_0005_006
每個器官都在訴說愛：最撩心的解剖學 (電子書),手拉心 Solaxin,究竟,2021-12-01,,203,https://www.books.com.tw/products/E050115238?loc=P_0005_007
生命勝任力：東方心教練向內修練、向外實現10大基本功 (電子書),阮橞習Eva,究竟,2021-12-01,,203,https://www.books.com.tw/products/E050115239?loc=P_0005_008
小心，原來這樣也有事!：腦洞大律師雷丘的生活法律常識與對策,雷丘律師,究竟,2021-11-01,9,288,https://www.books.com.tw/products/0010906183?loc=P_0005_009
書頁中的永恆：書籍的歷史與流轉之路,伊琳娜‧瓦耶荷,究竟,2021-11-01,79,442,https://www.books.com.tw/products/0010906219?loc=P_0005_010
小心，原來這樣也有事!：腦洞大律師雷丘的生活法律常識與對策 (電子書),雷丘律師,究竟,2021-11-01,,224,https://www.books.com.tw/products/E050111416?loc=P_0005_011
書頁中的永恆：書籍的歷史與流轉之路 (電子書),伊琳娜‧瓦耶荷,究竟,2021-11-01,,392,https://www.books.com.tw/products/E050111419?loc=P_0005_012
奇蹟開關：改變生命，掙脫束縛，讓想像力、創造力源源不絕,哈利斯三世,究竟,2021-10-01,9,297,https://www.books.com.tw/products/0010903344?loc=P_0005_013
奇蹟開關：改寫生命，掙脫束縛，讓想像力、創造力源源不絕 (電子書),哈利斯三世,究竟,2021-10-01,,231,https://www.books.com.tw/products/E050106948?loc=P_0005_014
如果世界是一場派對,街頭故事 李白,究竟,2021-10-01,7,280,https://www.books.com.tw/products/0010903351?loc=P_0005_015
如果世界是一場派對 (電子書),街頭故事 李白,究竟,2021-10-01,,280,https://www.books.com.tw/products/E050106949?loc=P_0005_016
怎麼就邊緣了呢?：肉蟻的歷史邊緣人檔案【加贈「一席之地」書角書籤】,肉蟻小姐,究竟,2021-09-01,9,387,https://www.books.com.tw/products/0010900434?loc=P_0005_017
寫給每個人的書法課：從看懂到會寫，提升素養與美學力,林曦,究竟,2021-09-01,9,378,https://www.books.com.tw/products/0010900437?loc=P_0005_018
怎麼就邊緣了呢?：肉蟻的歷史邊緣人檔案 (電子書),肉蟻小姐,究竟,2021-09-01,,301,https://www.books.com.tw/products/E050103131?loc=P_0005_019
寫給每個人的書法課：從看懂到會寫，提升素養與美學力 (電子書),林曦,究竟,2021-09-01,,294,https://www.books.com.tw/products/E050103132?loc=P_0005_020
人生關鍵字：僧侶、醫師與哲學家的智慧探索,"亞歷山大．喬連安,克里斯多福．安得烈,馬修．李卡德",究竟,2021-08-01,9,378,https://www.books.com.tw/products/0010897725?loc=P_0005_021
人生關鍵字：僧侶、醫師與哲學家的智慧探索 (電子書),"亞歷山大．喬連安,克里斯多福．安得烈,馬修．李卡德",究竟,2021-08-01,,294,https://www.books.com.tw/products/E050099134?loc=P_0005_022
一日如一生的愛,Charles,究竟,2021-08-01,9,333,https://www.books.com.tw/products/0010897717?loc=P_0005_023
一日如一生的愛 (電子書),Charles,究竟,2021-08-01,,259,https://www.books.com.tw/products/E050099133?loc=P_0005_024
駭客思維：抓出生活中的不合理，優化你的人生,小約瑟夫．雷格爾,究竟,2021-07-01,9,324,https://www.books.com.tw/products/0010894698?loc=P_0005_025
思考整理學：最多東大生、京大生讀過的一本書!,外山滋比古,究竟,2021-07-01,79,252,https://www.books.com.tw/products/0010894750?loc=P_0005_026
駭客思維：抓出生活中的不合理，優化你的人生 (電子書),小約瑟夫．雷格爾,究竟,2021-07-01,,250,https://www.books.com.tw/products/E050096350?loc=P_0005_027
思考整理學：最多東大生、京大生讀過的一本書! (電子書),外山滋比古,究竟,2021-07-01,88,197,https://www.books.com.tw/products/E050096355?loc=P_0005_028
清理你的心理雜訊：10個降噪練習，使你不再自卑、自責、自憐,山根洋士,究竟,2021-06-01,9,279,https://www.books.com.tw/products/0010892413?loc=P_0005_029
清理你的心理雜訊：10個降噪練習，使你不再自卑、自責、自憐 (電子書),山根洋士,究竟,2021-06-01,,217,https://www.books.com.tw/products/E050094137?loc=P_0005_030
鬼滅之刃心理學：打造強韌內在的38個法則,井島由佳,究竟,2021-05-01,9,252,https://www.books.com.tw/products/0010889458?loc=P_0005_031
鬼滅之刃心理學：打造強韌內在的38個法則 (電子書),井島由佳,究竟,2021-05-01,,196,https://www.books.com.tw/products/E050091678?loc=P_0005_032
半神：安住亂世、活出神性的30個生命基礎課,熊仁謙,究竟,2021-04-23,9,270,https://www.books.com.tw/products/0010889434?loc=P_0005_033
半神：安住亂世、活出神性的30個生命基礎課 (電子書),熊仁謙,究竟,2021-04-23,,210,https://www.books.com.tw/products/E050091283?loc=P_0005_034
信任溝通：全球頂尖心理學家解讀人心的四種方法,"勞倫斯．艾利森,愛蜜麗．艾利森",究竟,2021-04-01,9,351,https://www.books.com.tw/products/0010886772?loc=P_0005_035
信任溝通：全球頂尖心理學家解讀人心的四種方法 (電子書),"勞倫斯．艾利森,愛蜜麗．艾利森",究竟,2021-04-01,,273,https://www.books.com.tw/products/E050090189?loc=P_0005_036
你的心，就讓植物來療癒：劍橋出身的心理師帶你以自然與園藝，穩定內在、修復創傷,蘇・史都華－史密斯,究竟,2021-04-01,79,339,https://www.books.com.tw/products/0010886792?loc=P_0005_037
你的心，就讓植物來療癒：劍橋出身的心理師帶你以自然與園藝，穩定內在、修復創傷 (電子書),蘇・史都華－史密斯,究竟,2021-04-01,,301,https://www.books.com.tw/products/E050090190?loc=P_0005_038
你不需治療，只需說出口：心理師和那群拯救我的人,克莉絲蒂・塔特,究竟,2021-03-03,66,257,https://www.books.com.tw/products/0010884651?loc=P_0005_039
你不需治療，只需說出口：心理師和那群拯救我的人 (電子書),克莉絲蒂・塔特,究竟,2021-03-03,,273,https://www.books.com.tw/products/E050088577?loc=P_0005_040
上游思維：在問題發生前解決的根治之道,丹．希思,究竟,2021-03-03,79,300,https://www.books.com.tw/products/0010884647?loc=P_0005_041
上游思維：在問題發生前解決的根治之道 (電子書),丹．希思,究竟,2021-03-03,,266,https://www.books.com.tw/products/E050088578?loc=P_0005_042
穩：學會接住自己，為不安人生解套的4堂課,加藤諦三,究竟,2021-02-01,66,191,https://www.books.com.tw/products/0010881913?loc=P_0005_043
穩：學會接住自己，為不安人生解套的4堂課 (電子書),加藤諦三,究竟,2021-02-01,,203,https://www.books.com.tw/products/E050086635?loc=P_0005_044
任何人都適用的完美學習法,"申榮俊,高榮成",究竟,2021-01-01,9,360,https://www.books.com.tw/products/0010879068?loc=P_0005_045
自信的躍進：不再恐懼、退縮、焦慮的關鍵,沙爾．貝班,究竟,2021-01-01,9,252,https://www.books.com.tw/products/0010879069?loc=P_0005_046
任何人都適用的完美學習法 (電子書),"申榮俊,高榮成",究竟,2021-01-01,,280,https://www.books.com.tw/products/E050083472?loc=P_0005_047
自信的躍進：不再恐懼、退縮、焦慮的關鍵 (電子書),沙爾．貝班,究竟,2021-01-01,,196,https://www.books.com.tw/products/E050083473?loc=P_0005_048
遇見完形的我：用覺察、選擇、責任與自己和好，解鎖人生難題,曹中瑋,究竟,2020-12-01,79,284,https://www.books.com.tw/products/0010876372?loc=P_0005_049
遇見完形的我：用覺察、選擇、責任與自己和好，解鎖人生難題 (電子書),曹中瑋,究竟,2020-12-01,,250,https://www.books.com.tw/products/E050079911?loc=P_0005_050
文青這種生物，自古就有：17段隱藏在史籍和作品背後的奇葩人生,江仲淵,究竟,2020-12-01,9,279,https://www.books.com.tw/products/0010876415?loc=P_0005_051
文青這種生物，自古就有：17段隱藏在史籍和作品背後的奇葩人生 (電子書),江仲淵,究竟,2020-12-01,,217,https://www.books.com.tw/products/E050079908?loc=P_0005_052
像火箭科學家一樣思考：9大策略，翻轉你的事業與人生,歐贊‧瓦羅,究竟,2020-11-01,79,355,https://www.books.com.tw/products/0010873962?loc=P_0005_053
厭世國文教室：古文青生涯檔案,厭世國文老師,究竟,2020-11-01,79,268,https://www.books.com.tw/products/0010873977?loc=P_0005_054
厭世國文教室：古文青生涯檔案 (電子書),厭世國文老師,究竟,2020-11-01,,238,https://www.books.com.tw/products/E050078513?loc=P_0005_055
像火箭科學家一樣思考：9大策略，翻轉你的事業與人生 (電子書),歐贊‧瓦羅,究竟,2020-11-01,,315,https://www.books.com.tw/products/E050078514?loc=P_0005_056
哲學與宗教全史：人類三千年的思考之旅,出口治明,究竟,2020-10-01,79,339,https://www.books.com.tw/products/0010870620?loc=P_0005_057
哲學與宗教全史：人類三千年的思考之旅 (電子書),出口治明,究竟,2020-10-01,,301,https://www.books.com.tw/products/E050076470?loc=P_0005_058
內疚清理練習：寫給經常苛責自己的你,伊麗絲‧桑德,究竟,2020-10-01,79,237,https://www.books.com.tw/products/0010870634?loc=P_0005_059
內疚清理練習：寫給經常苛責自己的你 (電子書),伊麗絲‧桑德,究竟,2020-10-01,,210,https://www.books.com.tw/products/E050076471?loc=P_0005_060
人生賽局：我如何學習專注、掌握先機、贏得勝利 (電子書),瑪莉亞．柯妮可娃,究竟,2020-09-01,,259,https://www.books.com.tw/products/E050073245?loc=P_0005_061
人生賽局：我如何學習專注、掌握先機、贏得勝利,瑪莉亞．柯妮可娃,究竟,2020-09-01,9,333,https://www.books.com.tw/products/0010867748?loc=P_0005_062
了不起的我：0到99歲適用，自我發展的心理學,陳海賢,究竟,2020-08-01,9,306,https://www.books.com.tw/products/0010864554?loc=P_0005_063
有病的其實是我媽，卻要我去諮商：寫給青少年和家長的心理圖文書,"大衛・古席翁,穆佐",究竟,2020-08-01,79,237,https://www.books.com.tw/products/0010864585?loc=P_0005_064
有病的其實是我媽，卻要我去諮商：寫給青少年和家長的心理圖文書 (電子書),"大衛・古席翁,穆佐",究竟,2020-08-01,,210,https://www.books.com.tw/products/E050071588?loc=P_0005_065
象與騎象人：全球百大思想家的正向心理學經典,強納森．海德,究竟,2020-07-01,79,308,https://www.books.com.tw/products/0010861696?loc=P_0005_066
